route_id,path_type,direction,seq,sid,sname,name_e,lat,lon,path_id
BTS-Sukhumvit,main,back,7,E16,ปู่เจ้า,Pu Chao,13.6372778,100.5920068,
BTS-Sukhumvit,main,back,8,E15,สำโรง,Samrong,13.646192,100.595653,
BTS-Sukhumvit,main,back,9,E14,แบริ่ง,Bearing,13.6612072,100.6019066,
BTS-Sukhumvit,main,back,10,E13,บางนา,Bang Na,13.6681228,100.6046478,
BTS-Sukhumvit,main,back,11,E12,อุดมสุข,Udom Suk,13.679517,100.6093088,
BTS-Sukhumvit,main,back,12,E11,ปุณณวิถี,Punnawithi,13.6892688,100.6089881,
BTS-Sukhumvit,main,back,13,E10,บางจาก,Bang Chak,13.696738,100.605321,
BTS-Sukhumvit,main,back,14,E09,อ่อนนุช,On Nut,13.7055725,100.6009535,
BTS-Sukhumvit,main,back,15,E08,พระโขนง,Phra Khanong,13.7151737,100.5912598,
BTS-Sukhumvit,main,back,16,E07,เอกมัย,Ekkamai,13.7195166,100.5851075,
BTS-Sukhumvit,main,back,17,E06,ทองหล่อ,Thong Lo,13.724286,100.5784296,
BTS-Sukhumvit,main,back,18,E05,พร้อมพงษ์,Phrom Phong,13.7304311,100.5696901,
BTS-Sukhumvit,main,back,19,E04,อโศก,Asok,13.7370587,100.5603061,
BTS-Sukhumvit,main,back,20,E03,นานา,Nana,13.740523,100.555434,
BTS-Sukhumvit,main,back,21,E02,เพลินจิต,Phloen Chit,13.743044,100.548974,
BTS-Sukhumvit,main,back,22,E01,ชิดลม,Chit Lom,13.7440749,100.5430158,
BTS-Sukhumvit,main,back,23,CEN_SU,สยาม,Siam,13.7456058,100.5341187,
BTS-Sukhumvit,main,back,24,N01,ราชเทวี,Ratchathewi,13.7519875,100.5315773,
BTS-Sukhumvit,main,back,25,N02,พญาไท,Phaya Thai,13.757061,100.5338743,
BTS-Sukhumvit,main,back,26,N03,อนุสาวรีย์ชัยสมรภูมิ,Victory Monument,13.762793,100.537085,
BTS-Sukhumvit,main,back,27,N04,สนามเป้า,Sanam Pao,13.772642,100.542103,
BTS-Sukhumvit,main,back,28,N05,อารีย์,Ari,13.7796464,100.544598,
BTS-Sukhumvit,main,back,29,N07,สะพานควาย,Saphan Khwai,13.7937663,100.5497095,
BTS-Sukhumvit,main,back,30,N08,หมอชิต,Mo Chit,13.8024977,100.5538045,
